Date,Period,Value
5/2/2020 0:00,1,7466
5/2/2020 1:00,2,7238.1
5/2/2020 2:00,3,6934.5
5/2/2020 3:00,4,6706.9
5/2/2020 4:00,5,6555.9
5/2/2020 5:00,6,6315.5
5/2/2020 6:00,7,6004
5/2/2020 7:00,8,6188.9
5/2/2020 8:00,9,6540.6
5/2/2020 9:00,10,6905.9
5/2/2020 10:00,11,7133.6
5/2/2020 11:00,12,7108.4
5/2/2020 12:00,13,7303.1
5/2/2020 13:00,14,7552.4
5/2/2020 14:00,15,7584.8
5/2/2020 15:00,16,7369.7
5/2/2020 16:00,17,6946.6
5/2/2020 17:00,18,6912.1
5/2/2020 18:00,19,7608.4
5/2/2020 19:00,20,7682.5
5/2/2020 20:00,21,7945.9
5/2/2020 21:00,22,7983.4
5/2/2020 22:00,23,7870.2
5/2/2020 23:00,24,7753.2
5/3/2020 0:00,1,7524.2
5/3/2020 1:00,2,7242
5/3/2020 2:00,3,6969.1
5/3/2020 3:00,4,6735.9
5/3/2020 4:00,5,6520.9
5/3/2020 5:00,6,6263.6
5/3/2020 6:00,7,6158.9
5/3/2020 7:00,8,6360
5/3/2020 8:00,9,6624.3
5/3/2020 9:00,10,6866.2
5/3/2020 10:00,11,7113.5
5/3/2020 11:00,12,7123.9
5/3/2020 12:00,13,7112
5/3/2020 13:00,14,7227.2
5/3/2020 14:00,15,7214.7
5/3/2020 15:00,16,6981.4
5/3/2020 16:00,17,6741.7
5/3/2020 17:00,18,6908
5/3/2020 18:00,19,7540.9
5/3/2020 19:00,20,7682.2
5/3/2020 20:00,21,8017.9
5/3/2020 21:00,22,8043.3
5/3/2020 22:00,23,7774.9
5/3/2020 23:00,24,7587.1
5/4/2020 0:00,1,7242.2
5/4/2020 1:00,2,6897.4
5/4/2020 2:00,3,6664.1
5/4/2020 3:00,4,6470.3
5/4/2020 4:00,5,6363.4
5/4/2020 5:00,6,6265.8
5/4/2020 6:00,7,6094.8
5/4/2020 7:00,8,6674
5/4/2020 8:00,9,7328.2
5/4/2020 9:00,10,7728.3
5/4/2020 10:00,11,8007.7
5/4/2020 11:00,12,7902.8
5/4/2020 12:00,13,8262.6
5/4/2020 13:00,14,8547.3
5/4/2020 14:00,15,8550.9
5/4/2020 15:00,16,8319.5
5/4/2020 16:00,17,7922.6
5/4/2020 17:00,18,7661.7
5/4/2020 18:00,19,8117.4
5/4/2020 19:00,20,8278.3
5/4/2020 20:00,21,8489.6
5/4/2020 21:00,22,8601.4
5/4/2020 22:00,23,8504.6
5/4/2020 23:00,24,8360.5
5/5/2020 0:00,1,8200.5
5/5/2020 1:00,2,7936.1
5/5/2020 2:00,3,7621.5
5/5/2020 3:00,4,7382.4
5/5/2020 4:00,5,7214.3
5/5/2020 5:00,6,7056.8
5/5/2020 6:00,7,6726.2
5/5/2020 7:00,8,6915.5
5/5/2020 8:00,9,7528.7
5/5/2020 9:00,10,7910.9
5/5/2020 10:00,11,8212.9
5/5/2020 11:00,12,8172.9
5/5/2020 12:00,13,8345.7
5/5/2020 13:00,14,8591.7
5/5/2020 14:00,15,8700.8
5/5/2020 15:00,16,8353.1
5/5/2020 16:00,17,7790.2
5/5/2020 17:00,18,7507.5
5/5/2020 18:00,19,8162.6
5/5/2020 19:00,20,8364.7
5/5/2020 20:00,21,8758.6
5/5/2020 21:00,22,8776.5
5/5/2020 22:00,23,8675.8
5/5/2020 23:00,24,8522.9
5/6/2020 0:00,1,8361.5
5/6/2020 1:00,2,8074.2
5/6/2020 2:00,3,7835.4
5/6/2020 3:00,4,7606.6
5/6/2020 4:00,5,7416.5
5/6/2020 5:00,6,7124
5/6/2020 6:00,7,6744.1
5/6/2020 7:00,8,7273.2
5/6/2020 8:00,9,7856.2
5/6/2020 9:00,10,8102.7
5/6/2020 10:00,11,8365
5/6/2020 11:00,12,8434.5
5/6/2020 12:00,13,8691.2
5/6/2020 13:00,14,9017.9
5/6/2020 14:00,15,9064
5/6/2020 15:00,16,8705.1
5/6/2020 16:00,17,8102.2
5/6/2020 17:00,18,7911.7
5/6/2020 18:00,19,8450.3
5/6/2020 19:00,20,8618.1
5/6/2020 20:00,21,8931.7
5/6/2020 21:00,22,8981.4
5/6/2020 22:00,23,8864.3
5/6/2020 23:00,24,8549.9
5/7/2020 0:00,1,8393.3
5/7/2020 1:00,2,8124
5/7/2020 2:00,3,7881.8
5/7/2020 3:00,4,7649.9
5/7/2020 4:00,5,7593.9
5/7/2020 5:00,6,7300.5
5/7/2020 6:00,7,7016
5/7/2020 7:00,8,7349.2
5/7/2020 8:00,9,7784.2
5/7/2020 9:00,10,8130.9
5/7/2020 10:00,11,8472.3
5/7/2020 11:00,12,8483
5/7/2020 12:00,13,8810
5/7/2020 13:00,14,9160.8
5/7/2020 14:00,15,9116.9
5/7/2020 15:00,16,8745.2
5/7/2020 16:00,17,8100.8
5/7/2020 17:00,18,7767.8
5/7/2020 18:00,19,8453.4
5/7/2020 19:00,20,8605.5
5/7/2020 20:00,21,8995
5/7/2020 21:00,22,8926.5
5/7/2020 22:00,23,8769
5/7/2020 23:00,24,8814.6
5/8/2020 0:00,1,8638.8
5/8/2020 1:00,2,8362.1
5/8/2020 2:00,3,8063.2
5/8/2020 3:00,4,7813.9
5/8/2020 4:00,5,7652.1
5/8/2020 5:00,6,7247.1
5/8/2020 6:00,7,7036.1
5/8/2020 7:00,8,7390
5/8/2020 8:00,9,7793.2
5/8/2020 9:00,10,8184.1
5/8/2020 10:00,11,8482.6
5/8/2020 11:00,12,8485.5
5/8/2020 12:00,13,8753.1
5/8/2020 13:00,14,9116
5/8/2020 14:00,15,9115.6
5/8/2020 15:00,16,8738.8
5/8/2020 16:00,17,8026.5
5/8/2020 17:00,18,7732.5
5/8/2020 18:00,19,8407.3
5/8/2020 19:00,20,8691.5
5/8/2020 20:00,21,8992.5
5/8/2020 21:00,22,8914.2
5/8/2020 22:00,23,8865.7
5/8/2020 23:00,24,8667.1
5/9/2020 0:00,1,8404.3
5/9/2020 1:00,2,8161
5/9/2020 2:00,3,7867.7
5/9/2020 3:00,4,7625.1
5/9/2020 4:00,5,7457.1
5/9/2020 5:00,6,7138.7
5/9/2020 6:00,7,6971.8
5/9/2020 7:00,8,7094.8
5/9/2020 8:00,9,7483.5
5/9/2020 9:00,10,7760.1
5/9/2020 10:00,11,8001.3
5/9/2020 11:00,12,8003.9
5/9/2020 12:00,13,8195.3
5/9/2020 13:00,14,8552.6
5/9/2020 14:00,15,8559.2
5/9/2020 15:00,16,8351.8
5/9/2020 16:00,17,7909.5
5/9/2020 17:00,18,7712.1
5/9/2020 18:00,19,7988.5
5/9/2020 19:00,20,8123.1
5/9/2020 20:00,21,8186.4
5/9/2020 21:00,22,8262.5
5/9/2020 22:00,23,8224.5
5/9/2020 23:00,24,7976.4
5/10/2020 0:00,1,7861.6
5/10/2020 1:00,2,7632.4
5/10/2020 2:00,3,7344.1
5/10/2020 3:00,4,7120.5
5/10/2020 4:00,5,6878.4
5/10/2020 5:00,6,6592.3
5/10/2020 6:00,7,6531.4
5/10/2020 7:00,8,6637.5
5/10/2020 8:00,9,6972.9
5/10/2020 9:00,10,7334.6
5/10/2020 10:00,11,7504.7
5/10/2020 11:00,12,7458
5/10/2020 12:00,13,7702.4
5/10/2020 13:00,14,7907.5
5/10/2020 14:00,15,8102.3
5/10/2020 15:00,16,7939.9
5/10/2020 16:00,17,7786.2
5/10/2020 17:00,18,7642.9
5/10/2020 18:00,19,8188
5/10/2020 19:00,20,8244.6
5/10/2020 20:00,21,8665.7
5/10/2020 21:00,22,8588.8
5/10/2020 22:00,23,8319.3
5/10/2020 23:00,24,8172.1
5/11/2020 0:00,1,7868.4
5/11/2020 1:00,2,7553.3
5/11/2020 2:00,3,7295.5
5/11/2020 3:00,4,7066.1
5/11/2020 4:00,5,6933.6
5/11/2020 5:00,6,6777.5
5/11/2020 6:00,7,6632.2
5/11/2020 7:00,8,7096.3
5/11/2020 8:00,9,7582.6
5/11/2020 9:00,10,8020.5
5/11/2020 10:00,11,8358.7
5/11/2020 11:00,12,8378.9
5/11/2020 12:00,13,8685.7
5/11/2020 13:00,14,9014.8
5/11/2020 14:00,15,9034.1
5/11/2020 15:00,16,8635.8
5/11/2020 16:00,17,7928.2
5/11/2020 17:00,18,7589.3
5/11/2020 18:00,19,8254.9
5/11/2020 19:00,20,8567.3
5/11/2020 20:00,21,8833.4
5/11/2020 21:00,22,8932.7
5/11/2020 22:00,23,8815
5/11/2020 23:00,24,8678.6
5/12/2020 0:00,1,8546.6
5/12/2020 1:00,2,8279.1
5/12/2020 2:00,3,7971.2
5/12/2020 3:00,4,7703.2
5/12/2020 4:00,5,7499.3
5/12/2020 5:00,6,7275.2
5/12/2020 6:00,7,6973
5/12/2020 7:00,8,7348.5
5/12/2020 8:00,9,7902.5
5/12/2020 9:00,10,8240.7
5/12/2020 10:00,11,8467.6
5/12/2020 11:00,12,8423.5
5/12/2020 12:00,13,8721.2
5/12/2020 13:00,14,9126.3
5/12/2020 14:00,15,9083.1
5/12/2020 15:00,16,8661.1
5/12/2020 16:00,17,8057.7
5/12/2020 17:00,18,7678.3
5/12/2020 18:00,19,8263.8
5/12/2020 19:00,20,8503.8
5/12/2020 20:00,21,8803.6
5/12/2020 21:00,22,8777.7
5/12/2020 22:00,23,8754.7
5/12/2020 23:00,24,8574.2
5/13/2020 0:00,1,8486.4
5/13/2020 1:00,2,8166.8
5/13/2020 2:00,3,7927.1
5/13/2020 3:00,4,7652
5/13/2020 4:00,5,7492.2
5/13/2020 5:00,6,7162.4
5/13/2020 6:00,7,6999.7
5/13/2020 7:00,8,7374.5
5/13/2020 8:00,9,7910
5/13/2020 9:00,10,8286.1
5/13/2020 10:00,11,8727.4
5/13/2020 11:00,12,8749.6
5/13/2020 12:00,13,8998.8
5/13/2020 13:00,14,9260.1
5/13/2020 14:00,15,9181.1
5/13/2020 15:00,16,8711.6
5/13/2020 16:00,17,8058.5
5/13/2020 17:00,18,7648.6
5/13/2020 18:00,19,8195.8
5/13/2020 19:00,20,8536.6
5/13/2020 20:00,21,8833.7
5/13/2020 21:00,22,8841.9
5/13/2020 22:00,23,8770.1
5/13/2020 23:00,24,8665.6
5/14/2020 0:00,1,8556.4
5/14/2020 1:00,2,8285.7
5/14/2020 2:00,3,7977.9
5/14/2020 3:00,4,7671.4
5/14/2020 4:00,5,7475.3
5/14/2020 5:00,6,7193.7
5/14/2020 6:00,7,7019.9
5/14/2020 7:00,8,7401.9
5/14/2020 8:00,9,7977.3
5/14/2020 9:00,10,8256.5
5/14/2020 10:00,11,8483.8
5/14/2020 11:00,12,8451
5/14/2020 12:00,13,8611.7
5/14/2020 13:00,14,8917.8
5/14/2020 14:00,15,8637.2
5/14/2020 15:00,16,8210.4
5/14/2020 16:00,17,7441.8
5/14/2020 17:00,18,7360.3
5/14/2020 18:00,19,8009.4
5/14/2020 19:00,20,8314.6
5/14/2020 20:00,21,8403.2
5/14/2020 21:00,22,8421.6
5/14/2020 22:00,23,8358.2
5/14/2020 23:00,24,8268.4
5/15/2020 0:00,1,7943.9
5/15/2020 1:00,2,7655.8
5/15/2020 2:00,3,7393.8
5/15/2020 3:00,4,7157.5
5/15/2020 4:00,5,6956.6
5/15/2020 5:00,6,6716
5/15/2020 6:00,7,6696.5
5/15/2020 7:00,8,7134.3
5/15/2020 8:00,9,7320.4
5/15/2020 9:00,10,7567.5
5/15/2020 10:00,11,7371.2
5/15/2020 11:00,12,7545.2
5/15/2020 12:00,13,7488.6
5/15/2020 13:00,14,7397.7
5/15/2020 14:00,15,7256
5/15/2020 15:00,16,6832.9
5/15/2020 16:00,17,6533.4
5/15/2020 17:00,18,6142.8
5/15/2020 18:00,19,6567.8
5/15/2020 19:00,20,6242.4
5/15/2020 20:00,21,5859.3
5/15/2020 21:00,22,5647.1
5/15/2020 22:00,23,5857.7
5/15/2020 23:00,24,5659
5/16/2020 0:00,1,5531.9
5/16/2020 1:00,2,5489.9
5/16/2020 2:00,3,5455.1
5/16/2020 3:00,4,5276.4
5/16/2020 4:00,5,5182.5
5/16/2020 5:00,6,5186.3
5/16/2020 6:00,7,5168.5
5/16/2020 7:00,8,5566.5
5/16/2020 8:00,9,6215.7
5/16/2020 9:00,10,6648.3
5/16/2020 10:00,11,7032.3
5/16/2020 11:00,12,7070.1
5/16/2020 12:00,13,7370.4
5/16/2020 13:00,14,7387.8
5/16/2020 14:00,15,7281.8
5/16/2020 15:00,16,7033.9
5/16/2020 16:00,17,6710.9
5/16/2020 17:00,18,6670.7
5/16/2020 18:00,19,7335.9
5/16/2020 19:00,20,7417.6
5/16/2020 20:00,21,7642.1
5/16/2020 21:00,22,7479.5
5/16/2020 22:00,23,7440.3
5/16/2020 23:00,24,7274.1
5/17/2020 0:00,1,7014.1
5/17/2020 1:00,2,6765.1
5/17/2020 2:00,3,6498.3
5/17/2020 3:00,4,6283.3
5/17/2020 4:00,5,6130.6
5/17/2020 5:00,6,5964.1
5/17/2020 6:00,7,5923.4
5/17/2020 7:00,8,6170
5/17/2020 8:00,9,6871.6
5/17/2020 9:00,10,7188.1
5/17/2020 10:00,11,7277.8
5/17/2020 11:00,12,7433.7
5/17/2020 12:00,13,7499.9
5/17/2020 13:00,14,7731.7
5/17/2020 14:00,15,7750.9
5/17/2020 15:00,16,7643.1
5/17/2020 16:00,17,7331.2
5/17/2020 17:00,18,7316.8
5/17/2020 18:00,19,7980.7
5/17/2020 19:00,20,8178.5
5/17/2020 20:00,21,8418.1
5/17/2020 21:00,22,8495.1
5/17/2020 22:00,23,8485.4
5/17/2020 23:00,24,8153.1
5/18/2020 0:00,1,7775.1
5/18/2020 1:00,2,7609
5/18/2020 2:00,3,7297.2
5/18/2020 3:00,4,7063.7
5/18/2020 4:00,5,6909.8
5/18/2020 5:00,6,6822.6
5/18/2020 6:00,7,6636
5/18/2020 7:00,8,7256.9
5/18/2020 8:00,9,8025.7
5/18/2020 9:00,10,8490.2
5/18/2020 10:00,11,8879.5
5/18/2020 11:00,12,8994.2
5/18/2020 12:00,13,9147.4
5/18/2020 13:00,14,9160.8
5/18/2020 14:00,15,8998.2
5/18/2020 15:00,16,8561.8
5/18/2020 16:00,17,8294.4
5/18/2020 17:00,18,7987
5/18/2020 18:00,19,8368.6
5/18/2020 19:00,20,8560.5
5/18/2020 20:00,21,8795.9
5/18/2020 21:00,22,8782.2
5/18/2020 22:00,23,8686.7
5/18/2020 23:00,24,8503.5
5/19/2020 0:00,1,8398.2
5/19/2020 1:00,2,8034.2
5/19/2020 2:00,3,7766.7
5/19/2020 3:00,4,7477.4
5/19/2020 4:00,5,7372.5
5/19/2020 5:00,6,7167.7
5/19/2020 6:00,7,6970
5/19/2020 7:00,8,7496.8
5/19/2020 8:00,9,8247.4
5/19/2020 9:00,10,8880.5
5/19/2020 10:00,11,9203.8
5/19/2020 11:00,12,9100.2
5/19/2020 12:00,13,8926.9
5/19/2020 13:00,14,8914.2
5/19/2020 14:00,15,8855.5
5/19/2020 15:00,16,8514.3
5/19/2020 16:00,17,7956.8
5/19/2020 17:00,18,7534.8
5/19/2020 18:00,19,8189
5/19/2020 19:00,20,8321
5/19/2020 20:00,21,8587.6
5/19/2020 21:00,22,8536.1
5/19/2020 22:00,23,8444.1
5/19/2020 23:00,24,8262.9
5/20/2020 0:00,1,8135.1
5/20/2020 1:00,2,7840
5/20/2020 2:00,3,7549.8
5/20/2020 3:00,4,7479.4
5/20/2020 4:00,5,7241
5/20/2020 5:00,6,7132.7
5/20/2020 6:00,7,7013.7
5/20/2020 7:00,8,7585.9
5/20/2020 8:00,9,8201.7
5/20/2020 9:00,10,8748.8
5/20/2020 10:00,11,9053.9
5/20/2020 11:00,12,8942.5
5/20/2020 12:00,13,9077.1
5/20/2020 13:00,14,9528
5/20/2020 14:00,15,9534.6
5/20/2020 15:00,16,9114.5
5/20/2020 16:00,17,8442.6
5/20/2020 17:00,18,7957.4
5/20/2020 18:00,19,8556
5/20/2020 19:00,20,8745.5
5/20/2020 20:00,21,8966.3
5/20/2020 21:00,22,8952.6
5/20/2020 22:00,23,8898.4
5/20/2020 23:00,24,8782.9
5/21/2020 0:00,1,8541.9
5/21/2020 1:00,2,8291.1
5/21/2020 2:00,3,8056.4
5/21/2020 3:00,4,7820.3
5/21/2020 4:00,5,7612.1
5/21/2020 5:00,6,7349.7
5/21/2020 6:00,7,7296.4
5/21/2020 7:00,8,7900.8
5/21/2020 8:00,9,8513.2
5/21/2020 9:00,10,8937.3
5/21/2020 10:00,11,9183
5/21/2020 11:00,12,9159.2
5/21/2020 12:00,13,9355.2
5/21/2020 13:00,14,9643
5/21/2020 14:00,15,9457
5/21/2020 15:00,16,9118.8
5/21/2020 16:00,17,8340.7
5/21/2020 17:00,18,7998.9
5/21/2020 18:00,19,8709.8
5/21/2020 19:00,20,8714.1
5/21/2020 20:00,21,9074.1
5/21/2020 21:00,22,9077.4
5/21/2020 22:00,23,9012
5/21/2020 23:00,24,8855
5/22/2020 0:00,1,8626.5
5/22/2020 1:00,2,8344
5/22/2020 2:00,3,8050.1
5/22/2020 3:00,4,7807.8
5/22/2020 4:00,5,7681.8
5/22/2020 5:00,6,7477.8
5/22/2020 6:00,7,7364
5/22/2020 7:00,8,7866.8
5/22/2020 8:00,9,8440.2
5/22/2020 9:00,10,8871.8
5/22/2020 10:00,11,9265.2
5/22/2020 11:00,12,9194.3
5/22/2020 12:00,13,9343.4
5/22/2020 13:00,14,9479.4
5/22/2020 14:00,15,9349.3
5/22/2020 15:00,16,8981.6
5/22/2020 16:00,17,8193.9
5/22/2020 17:00,18,7809.8
5/22/2020 18:00,19,8376.2
5/22/2020 19:00,20,8685
5/22/2020 20:00,21,8941.3
5/22/2020 21:00,22,8946.6
5/22/2020 22:00,23,8696.1
5/22/2020 23:00,24,8385.9
5/23/2020 0:00,1,8253.4
5/23/2020 1:00,2,8177.7
5/23/2020 2:00,3,8002.8
5/23/2020 3:00,4,7764.9
5/23/2020 4:00,5,7612.6
5/23/2020 5:00,6,7321.2
5/23/2020 6:00,7,7060.3
5/23/2020 7:00,8,7359.6
5/23/2020 8:00,9,7859.5
5/23/2020 9:00,10,8245.1
5/23/2020 10:00,11,8544.6
5/23/2020 11:00,12,8616.4
5/23/2020 12:00,13,8754.2
5/23/2020 13:00,14,9011.6
5/23/2020 14:00,15,8806
5/23/2020 15:00,16,8384.1
5/23/2020 16:00,17,7497.4
5/23/2020 17:00,18,7642.8
5/23/2020 18:00,19,8013
5/23/2020 19:00,20,7945
5/23/2020 20:00,21,8074.3
5/23/2020 21:00,22,7986.4
5/23/2020 22:00,23,7755.3
5/23/2020 23:00,24,7444.5
5/24/2020 0:00,1,7170.6
5/24/2020 1:00,2,7149.9
5/24/2020 2:00,3,7021.1
5/24/2020 3:00,4,6862
5/24/2020 4:00,5,6705.6
5/24/2020 5:00,6,6390.3
5/24/2020 6:00,7,6508.4
5/24/2020 7:00,8,6679.9
5/24/2020 8:00,9,7060.1
5/24/2020 9:00,10,7430.6
5/24/2020 10:00,11,7750.3
5/24/2020 11:00,12,7694.8
5/24/2020 12:00,13,7990.1
5/24/2020 13:00,14,8256.5
5/24/2020 14:00,15,8152.1
5/24/2020 15:00,16,7940.3
5/24/2020 16:00,17,7531
5/24/2020 17:00,18,7376.8
5/24/2020 18:00,19,7932.5
5/24/2020 19:00,20,8073.6
5/24/2020 20:00,21,8169.8
5/24/2020 21:00,22,8198.1
5/24/2020 22:00,23,8190.1
5/24/2020 23:00,24,7823
5/25/2020 0:00,1,7659.3
5/25/2020 1:00,2,7463.3
5/25/2020 2:00,3,7217.1
5/25/2020 3:00,4,7008.5
5/25/2020 4:00,5,6916.3
5/25/2020 5:00,6,6628.8
5/25/2020 6:00,7,6555.1
5/25/2020 7:00,8,6584
5/25/2020 8:00,9,7295.5
5/25/2020 9:00,10,7692.2
5/25/2020 10:00,11,8023.5
5/25/2020 11:00,12,8020.6
5/25/2020 12:00,13,8101
5/25/2020 13:00,14,8349.9
5/25/2020 14:00,15,8388
5/25/2020 15:00,16,8061.7
5/25/2020 16:00,17,7699.2
5/25/2020 17:00,18,7609.9
5/25/2020 18:00,19,8145.3
5/25/2020 19:00,20,8360.8
5/25/2020 20:00,21,8639.3
5/25/2020 21:00,22,8679.5
5/25/2020 22:00,23,8508.4
5/25/2020 23:00,24,8224.7
5/26/2020 0:00,1,8035
5/26/2020 1:00,2,7927.2
5/26/2020 2:00,3,7830.7
5/26/2020 3:00,4,7605
5/26/2020 4:00,5,7357.4
5/26/2020 5:00,6,7183.1
5/26/2020 6:00,7,7024
5/26/2020 7:00,8,7757.3
5/26/2020 8:00,9,8433.9
5/26/2020 9:00,10,8964.4
5/26/2020 10:00,11,9360.8
5/26/2020 11:00,12,9377.2
5/26/2020 12:00,13,9444.7
5/26/2020 13:00,14,9625.6
5/26/2020 14:00,15,9295.8
5/26/2020 15:00,16,8831.3
5/26/2020 16:00,17,8007
5/26/2020 17:00,18,7718
5/26/2020 18:00,19,8269
5/26/2020 19:00,20,8373.6
5/26/2020 20:00,21,8626.3
5/26/2020 21:00,22,8554.8
5/26/2020 22:00,23,8567.5
5/26/2020 23:00,24,8452.2
5/27/2020 0:00,1,8235.8
5/27/2020 1:00,2,7966.1
5/27/2020 2:00,3,7688.2
5/27/2020 3:00,4,7423.6
5/27/2020 4:00,5,7344.1
5/27/2020 5:00,6,7010.6
5/27/2020 6:00,7,7347.4
5/27/2020 7:00,8,7792
5/27/2020 8:00,9,8402.9
5/27/2020 9:00,10,8918.1
5/27/2020 10:00,11,9348.5
5/27/2020 11:00,12,9201.6
5/27/2020 12:00,13,9439.1
5/27/2020 13:00,14,9657.9
5/27/2020 14:00,15,9551.8
5/27/2020 15:00,16,9062.6
5/27/2020 16:00,17,8359.6
5/27/2020 17:00,18,8049.6
5/27/2020 18:00,19,8534.7
5/27/2020 19:00,20,8707.2
5/27/2020 20:00,21,8347.4
5/27/2020 21:00,22,8623.4
5/27/2020 22:00,23,8499.9
5/27/2020 23:00,24,8408.6
5/28/2020 0:00,1,8263.8
5/28/2020 1:00,2,8004.4
5/28/2020 2:00,3,7744.6
5/28/2020 3:00,4,7500.1
5/28/2020 4:00,5,7416.9
5/28/2020 5:00,6,7240.1
5/28/2020 6:00,7,7181.5
5/28/2020 7:00,8,7889.1
5/28/2020 8:00,9,8543.7
5/28/2020 9:00,10,9066
5/28/2020 10:00,11,9377.2
5/28/2020 11:00,12,9282.6
5/28/2020 12:00,13,9445.7
5/28/2020 13:00,14,9717.5
5/28/2020 14:00,15,9405
5/28/2020 15:00,16,8765.3
5/28/2020 16:00,17,8253.9
5/28/2020 17:00,18,7819.9
5/28/2020 18:00,19,8430.9
5/28/2020 19:00,20,8386.6
5/28/2020 20:00,21,8604.5
5/28/2020 21:00,22,8520.9
5/28/2020 22:00,23,8500.6
5/28/2020 23:00,24,8259.6
5/29/2020 0:00,1,8102.6
5/29/2020 1:00,2,7889.2
5/29/2020 2:00,3,7615.6
5/29/2020 3:00,4,7395
5/29/2020 4:00,5,7285.2
5/29/2020 5:00,6,7083.1
5/29/2020 6:00,7,7064.4
5/29/2020 7:00,8,7855.7
5/29/2020 8:00,9,8359.9
5/29/2020 9:00,10,8938.1
5/29/2020 10:00,11,9210.2
5/29/2020 11:00,12,9236.7
5/29/2020 12:00,13,9329.8
5/29/2020 13:00,14,9573
5/29/2020 14:00,15,9493.2
5/29/2020 15:00,16,9130.6
5/29/2020 16:00,17,8339.6
5/29/2020 17:00,18,7965.6
5/29/2020 18:00,19,8377
5/29/2020 19:00,20,8289.9
5/29/2020 20:00,21,8605.8
5/29/2020 21:00,22,8606.6
5/29/2020 22:00,23,8511.7
5/29/2020 23:00,24,8396.4
5/30/2020 0:00,1,8234.5
5/30/2020 1:00,2,8060.7
5/30/2020 2:00,3,7780.1
5/30/2020 3:00,4,7553.4
5/30/2020 4:00,5,7242.9
5/30/2020 5:00,6,6730.2
5/30/2020 6:00,7,6740.7
5/30/2020 7:00,8,7179.3
5/30/2020 8:00,9,7909.1
5/30/2020 9:00,10,8452.3
5/30/2020 10:00,11,8679.5
5/30/2020 11:00,12,8654.3
5/30/2020 12:00,13,8734.6
5/30/2020 13:00,14,9009.4
5/30/2020 14:00,15,9000.3
5/30/2020 15:00,16,8719.6
5/30/2020 16:00,17,8208.6
5/30/2020 17:00,18,8102.3
5/30/2020 18:00,19,8566.2
5/30/2020 19:00,20,8494.2
5/30/2020 20:00,21,8819.4
5/30/2020 21:00,22,8758.1
5/30/2020 22:00,23,8784.7
5/30/2020 23:00,24,8659.3
5/31/2020 0:00,1,8479
5/31/2020 1:00,2,8169.4
5/31/2020 2:00,3,7934
5/31/2020 3:00,4,7663.7
5/31/2020 4:00,5,7389
5/31/2020 5:00,6,7059.1
5/31/2020 6:00,7,6927.9
5/31/2020 7:00,8,7201.8
5/31/2020 8:00,9,7716.2
5/31/2020 9:00,10,7992.9
5/31/2020 10:00,11,8370.2
5/31/2020 11:00,12,8254.5
5/31/2020 12:00,13,8325.9
5/31/2020 13:00,14,8495.9
5/31/2020 14:00,15,8507.9
5/31/2020 15:00,16,8265.1
5/31/2020 16:00,17,7825.1
5/31/2020 17:00,18,7696.8
5/31/2020 18:00,19,8066
5/31/2020 19:00,20,8309.3
5/31/2020 20:00,21,8653.9
5/31/2020 21:00,22,8749.3
5/31/2020 22:00,23,8665.9
5/31/2020 23:00,24,8355.2
6/1/2020 0:00,1,8063.2
6/1/2020 1:00,2,7747.3
6/1/2020 2:00,3,7470.7
6/1/2020 3:00,4,7242.2
6/1/2020 4:00,5,7074.1
6/1/2020 5:00,6,6761.6
6/1/2020 6:00,7,7096.2
6/1/2020 7:00,8,7896.4
6/1/2020 8:00,9,8599.3
6/1/2020 9:00,10,9263.7
6/1/2020 10:00,11,9540.6
6/1/2020 11:00,12,9557.7
6/1/2020 12:00,13,9787.8
6/1/2020 13:00,14,10054.3
6/1/2020 14:00,15,10031.7
6/1/2020 15:00,16,9832.2
6/1/2020 16:00,17,9044.4
6/1/2020 17:00,18,8492.9
6/1/2020 18:00,19,8624.4
6/1/2020 19:00,20,8459
6/1/2020 20:00,21,8927
6/1/2020 21:00,22,9116.4
